,edit_count,sentiment,neg_sentiment
2022-11-06,2.3666666666666667,0.9251874868406189,1.0
2022-11-07,2.3666666666666667,0.9249367320868703,1.0
2022-11-24,2.3666666666666667,0.9109388991528087,1.0
2022-11-28,2.3,0.9034270688229137,1.0
2022-12-01,2.3,0.9096129620406362,1.0
2022-12-07,2.3666666666666667,0.9075297240747345,1.0
2022-12-13,2.3333333333333335,0.9018162059452799,1.0
2022-12-18,2.2333333333333334,0.8948306617803043,1.0
2022-12-27,2.466666666666667,0.8939288981424437,1.0
2022-12-28,2.7,0.8965583766831292,1.0
2022-12-29,2.6666666666666665,0.8959409904479981,1.0
2022-12-30,2.7666666666666666,0.9020834358533224,1.0
2023-01-01,2.7333333333333334,0.9021010559797288,1.0
2023-01-03,2.6666666666666665,0.8937629721562068,1.0
2023-01-08,2.6,0.8938339758581585,1.0
2023-01-18,2.533333333333333,0.8937274020910263,1.0
2023-01-19,2.5,0.8954941582679748,1.0
2023-01-20,2.533333333333333,0.8950817259152731,1.0
2023-01-21,2.6666666666666665,0.8984850414594016,1.0
2023-01-24,2.6666666666666665,0.8975993561744691,1.0
2023-01-25,2.6,0.9004641825622983,1.0
2023-01-26,2.6666666666666665,0.9049834438165029,1.0
2023-01-28,2.6333333333333333,0.9059972671667734,1.0
2023-01-30,2.533333333333333,0.9103669507304827,1.0
2023-02-08,2.4,0.898787358502547,1.0
2023-02-17,2.4,0.8936173701617454,1.0
2023-02-21,2.3333333333333335,0.8940031353963747,1.0
2023-02-22,2.3,0.8941973730259473,1.0
2023-02-23,2.2666666666666666,0.8943600658906832,1.0
2023-02-26,2.3333333333333335,0.8912148215042222,1.0
2023-02-27,2.3333333333333335,0.9052342948979802,1.0
2023-03-01,2.3,0.9096666224466431,1.0
2023-03-02,2.3666666666666667,0.9185292489992248,1.0
2023-03-03,2.3666666666666667,0.9266806908117401,1.0
2023-03-04,2.466666666666667,0.9268018293049601,1.0
2023-03-06,2.4,0.9286882527338135,1.0
2023-03-09,2.3666666666666667,0.9367507475283412,1.0
2023-03-10,2.3666666666666667,0.9451257027851212,1.0
2023-03-12,2.1,0.9465602117445735,1.0
2023-03-21,1.7333333333333334,0.9479423518975576,1.0
2023-03-22,1.7,0.9484498198827108,1.0
2023-03-23,1.6666666666666667,0.9502626196543376,1.0
2023-03-28,1.6666666666666667,0.9499959723154704,1.0
2023-03-29,1.6666666666666667,0.9583738402525585,1.0
2023-03-30,1.6666666666666667,0.9583717799186707,1.0
2023-04-03,1.6666666666666667,0.958719205458959,1.0
2023-04-11,1.6666666666666667,0.9632661964495977,1.0
2023-04-22,1.6333333333333333,0.9642063385248184,1.0
2023-05-11,1.5333333333333334,0.9647373954455057,1.0
